short,long
Puebloviejo,PUEBLOVIEJO
Remolino,REMOLINO
Sabanas de San Angel,SABANAS DE SAN ANGEL
Salamina,SALAMINA
San Sebastián de Buenavista,SAN SEBASTIÁN DE BUENAVISTA
San Zenón,SAN ZENÓN
Santa Ana,SANTA ANA
Santa Bárbara de Pinto,SANTA BÁRBARA DE PINTO
Sitionuevo,SITIONUEVO
Tenerife,TENERIFE
Zapayán,ZAPAYÁN
Zona Bananera,ZONA BANANERA
Villavicencio,VILLAVICENCIO
Acacías,ACACÍAS
Barranca de Upía,BARRANCA DE UPÍA
Cabuyaro,CABUYARO
Castilla la Nueva,CASTILLA LA NUEVA
Cubarral,CUBARRAL
Cumaral,CUMARAL
El Calvario,EL CALVARIO
El Castillo,EL CASTILLO
El Dorado,EL DORADO
Fuente de Oro,FUENTE DE ORO
Granada,GRANADA
Guamal,GUAMAL
Mapiripán,MAPIRIPÁN
Mesetas,MESETAS
La Macarena,LA MACARENA
Uribe,URIBE
Lejanías,LEJANÍAS
Puerto Concordia,PUERTO CONCORDIA
Puerto Gaitán,PUERTO GAITÁN
Puerto López,PUERTO LÓPEZ
Puerto Lleras,PUERTO LLERAS
Puerto Rico,PUERTO RICO
Restrepo,RESTREPO
San Carlos de Guaroa,SAN CARLOS DE GUAROA
San Juan de Arama,SAN JUAN DE ARAMA
San Juanito,SAN JUANITO
San Martín,SAN MARTÍN
Vistahermosa,VISTAHERMOSA
Pasto,PASTO
Albán,ALBÁN
Aldana,ALDANA
Ancuyá,ANCUYÁ
Arboleda,ARBOLEDA
Barbacoas,BARBACOAS
Belén,BELÉN
Buesaco,BUESACO
Colón,COLÓN
Consaca,CONSACA
Contadero,CONTADERO
Córdoba,CÓRDOBA
Cuaspud,CUASPUD
Cumbal,CUMBAL
Cumbitara,CUMBITARA
Chachagãœí,CHACHAGÃœÍ
El Charco,EL CHARCO
El Peñol,EL PEÑOL
El Rosario,EL ROSARIO
El Tablón de Gómez,EL TABLÓN DE GÓMEZ
El Tambo,EL TAMBO
Funes,FUNES
Guachucal,GUACHUCAL
Guaitarilla,GUAITARILLA
Gualmatán,GUALMATÁN
Iles,ILES
Imués,IMUÉS
Ipiales,IPIALES
La Cruz,LA CRUZ
La Florida,LA FLORIDA
La Llanada,LA LLANADA
La Tola,LA TOLA
La Unión,LA UNIÓN
Leiva,LEIVA
Linares,LINARES
Los Andes,LOS ANDES
Magãœi,MAGÃœI
Mallama,MALLAMA
Mosquera,MOSQUERA
Nariño,NARIÑO
Olaya Herrera,OLAYA HERRERA
Ospina,OSPINA
Francisco Pizarro,FRANCISCO PIZARRO
Policarpa,POLICARPA
Potosí,POTOSÍ
Providencia,PROVIDENCIA
Puerres,PUERRES
Pupiales,PUPIALES
Ricaurte,RICAURTE
Roberto Payán,ROBERTO PAYÁN
Samaniego,SAMANIEGO
Sandoná,SANDONÁ
San Bernardo,SAN BERNARDO
San Lorenzo,SAN LORENZO
San Pablo,SAN PABLO
San Pedro de Cartago,SAN PEDRO DE CARTAGO
Santa Bárbara,SANTA BÁRBARA
Santacruz,SANTACRUZ
Sapuyes,SAPUYES
Taminango,TAMINANGO
Tangua,TANGUA
San Andres de Tumaco,SAN ANDRES DE TUMACO
Túquerres,TÚQUERRES
Yacuanquer,YACUANQUER
Cúcuta,CÚCUTA
Abrego,ABREGO
Arboledas,ARBOLEDAS
Bochalema,BOCHALEMA
Bucarasica,BUCARASICA
Cácota,CÁCOTA
Cachirá,CACHIRÁ
Chinácota,CHINÁCOTA
Chitagá,CHITAGÁ
Convención,CONVENCIÓN
Cucutilla,CUCUTILLA
Durania,DURANIA
El Carmen,EL CARMEN
El Tarra,EL TARRA
El Zulia,EL ZULIA
Gramalote,GRAMALOTE
Hacarí,HACARÍ
Herrán,HERRÁN
Labateca,LABATECA
La Esperanza,LA ESPERANZA
La Playa,LA PLAYA
Los Patios,LOS PATIOS
Lourdes,LOURDES
Mutiscua,MUTISCUA
Ocaña,OCAÑA
Pamplona,PAMPLONA
Pamplonita,PAMPLONITA
Puerto Santander,PUERTO SANTANDER
Ragonvalia,RAGONVALIA
Salazar,SALAZAR
San Calixto,SAN CALIXTO
San Cayetano,SAN CAYETANO
Santiago,SANTIAGO
Sardinata,SARDINATA
Silos,SILOS
Teorama,TEORAMA
Tibú,TIBÚ
Toledo,TOLEDO
Villa Caro,VILLA CARO
Villa del Rosario,VILLA DEL ROSARIO
Armenia,ARMENIA
Buenavista,BUENAVISTA
Calarca,CALARCA
Circasia,CIRCASIA
Córdoba,CÓRDOBA
Filandia,FILANDIA
Génova,GÉNOVA
La Tebaida,LA TEBAIDA
Montenegro,MONTENEGRO
Pijao,PIJAO
Quimbaya,QUIMBAYA
Salento,SALENTO
Pereira,PEREIRA
Apía,APÍA
Balboa,BALBOA
Belén de Umbría,BELÉN DE UMBRÍA
Dosquebradas,DOSQUEBRADAS
Guática,GUÁTICA
La Celia,LA CELIA
La Virginia,LA VIRGINIA
Marsella,MARSELLA
Mistrató,MISTRATÓ
Pueblo Rico,PUEBLO RICO
Quinchía,QUINCHÍA
Santa Rosa de Cabal,SANTA ROSA DE CABAL
Santuario,SANTUARIO
Bucaramanga,BUCARAMANGA
Aguada,AGUADA
Albania,ALBANIA
Aratoca,ARATOCA
Barbosa,BARBOSA
Barichara,BARICHARA
Barrancabermeja,BARRANCABERMEJA
Betulia,BETULIA
Bolívar,BOLÍVAR
Cabrera,CABRERA
California,CALIFORNIA
Capitanejo,CAPITANEJO
Carcasí,CARCASÍ
Cepitá,CEPITÁ
Cerrito,CERRITO
Charalá,CHARALÁ
Charta,CHARTA
Chima,CHIMA
Chipatá,CHIPATÁ
Cimitarra,CIMITARRA
Concepción,CONCEPCIÓN
Confines,CONFINES
Contratación,CONTRATACIÓN
Coromoro,COROMORO
Curití,CURITÍ
El Carmen de Chucurí,EL CARMEN DE CHUCURÍ
El Guacamayo,EL GUACAMAYO
El Peñón,EL PEÑÓN
El Playón,EL PLAYÓN
Encino,ENCINO
Enciso,ENCISO
Florián,FLORIÁN
Floridablanca,FLORIDABLANCA
Galán,GALÁN
Gambita,GAMBITA
